"","e1","e2","e4","e5","e6","e9","e10","e11","e15","e18","e21","e22","e23"
"999",96,98,99,100,99,100,100,100,99,100,74,100,89
"1000",NA,82,NA,73,74,72,NA,83,84,78,NA,83,29
"1001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"1002",100,100,98,100,100,100,100,100,100,100,99,100,100
"1003",61,53,100,76,32,100,100,33,66,69,89,31,52
"1004",100,100,100,100,100,100,100,100,100,100,100,100,100
"1005",94,96,94,67,76,92,88,88,63,89,89,60,66
"1006",71,65,91,82,93,87,72,62,62,62,50,50,49
"1007",100,100,100,100,100,100,100,100,100,100,100,100,100
"1008",98,96,98,96,93,97,93,95,96,93,90,95,89
"1009",69,76,80,59,62,85,61,87,63,69,88,81,76
"1010",100,100,100,100,100,100,100,100,100,100,100,100,100
"1011",100,100,100,100,100,100,100,100,100,100,100,100,79
"1012",97,92,100,69,75,99,88,96,100,94,98,100,79
"1013",100,91,89,80,90,84,100,85,37,100,100,100,71
"1014",100,100,100,100,99,99,71,92,100,100,97,51,100
"1015",100,100,100,94,100,100,97,100,93,100,100,100,80
"1016",100,100,100,92,93,100,96,100,92,100,99,100,83
"1017",99,98,98,100,100,100,97,98,98,96,NA,97,100
"1018",99,100,98,100,100,100,100,100,100,100,100,99,100
"1019",88,87,86,88,87,81,82,85,88,88,67,80,82
"1020",NA,NA,NA,86,84,95,93,92,74,46,92,82,71
"1021",96,91,87,85,84,72,93,78,76,77,92,50,50
"1022",NA,NA,NA,50,50,NA,NA,NA,50,51,50,50,51
"1023",100,87,78,99,98,93,85,92,98,97,97,92,93
"1024",78,94,92,94,91,82,62,100,100,100,100,100,100
"1025",100,100,100,100,100,100,100,100,100,100,78,100,100
"1026",100,99,100,98,NA,96,100,94,98,100,100,98,100
"1027",48,62,54,54,57,72,64,58,55,60,53,56,53
"1028",100,100,100,50,55,100,100,100,56,88,50,50,52
"1029",100,82,97,78,35,64,75,72,69,91,71,46,70
"1030",90,87,84,58,65,86,69,89,80,85,70,70,80
"1031",93,100,92,78,100,89,89,78,92,86,63,63,86
"1032",100,100,100,50,50,100,52,51,100,100,51,50,78
"1033",51,51,51,28,51,58,50,46,20,35,51,51,17
"1034",100,100,100,94,100,100,100,100,92,90,100,80,95
"1035",100,100,100,100,55,100,100,100,100,100,100,52,100
"1036",100,100,97,99,76,100,95,100,99,98,83,92,96
"1037",98,98,97,97,82,98,99,96,97,94,90,77,95
"1038",63,68,77,15,30,65,36,47,11,35,61,27,87
"1039",100,100,100,39,16,81,98,100,100,100,99,92,54
"1040",93,29,98,97,NA,93,93,94,99,100,89,96,86
"1041",83,100,100,100,100,100,100,100,100,100,100,51,100
"1042",41,31,26,25,14,63,17,24,8,23,45,20,1
"1043",52,1,49,1,1,51,41,48,34,42,20,53,21
"1044",50,50,50,50,50,54,50,50,62,50,50,50,50
"1045",98,98,98,96,97,98,97,97,97,96,98,89,95
"1046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
"1047",85,40,99,41,74,86,NA,90,62,61,65,NA,38
"1048",50,50,50,50,50,50,50,50,50,50,50,50,50
"1049",100,100,100,100,100,50,50,50,89,75,50,50,79
"1050",100,100,100,92,100,100,89,95,72,88,97,88,93
"1051",100,89,88,77,82,68,62,81,50,75,40,65,31
"1052",96,96,96,93,85,97,91,97,99,100,97,88,95
"1053",94,89,93,82,56,93,50,50,50,48,50,50,76
"1054",50,50,51,73,61,100,50,53,58,50,52,52,54
"1055",97,100,100,97,85,97,91,97,95,90,96,94,99
"1056",99,99,99,100,100,100,99,99,98,97,100,100,97
"1057",100,100,100,84,80,98,58,69,63,32,97,94,87
"1058",99,98,99,75,99,100,100,100,98,99,99,100,99
"1059",50,45,47,43,38,43,44,40,44,41,43,42,36
"1060",99,100,100,51,100,100,100,93,100,100,100,96,91
"1061",100,100,100,100,100,100,100,100,100,100,100,100,100
"1062",100,100,100,100,100,100,100,100,100,100,100,100,100
"1063",92,92,95,82,59,81,81,94,62,59,85,74,78
"1064",98,88,87,95,86,100,82,89,85,98,94,94,93
"1065",100,100,100,96,100,100,100,95,100,99,98,99,100
