"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"124",5,1,4,1,5,1,5,3,3,5,5,1,4,2,5,5,5,2,2,5,1,5,2,5,5,5,1,4,3,5,2,5,5,4,3,5,1,3,1,5,1,5,4,5
"125",5,4,5,2,5,1,4,1,1,5,5,1,5,5,4,4,3,1,2,5,1,4,4,2,3,4,1,3,5,5,1,2,5,2,5,5,4,5,1,3,2,4,2,3
"126",3,4,4,2,3,2,4,3,3,4,4,2,5,3,4,4,4,2,3,4,3,5,4,3,3,4,2,3,4,3,4,4,4,3,3,3,2,3,4,3,4,4,3,2
"127",4,4,4,2,3,4,3,3,3,4,4,2,4,4,2,4,4,2,2,4,3,4,2,4,3,4,2,3,4,2,4,4,4,4,2,4,4,3,4,4,3,4,4,3
"128",4,3,5,4,4,5,4,4,1,4,3,2,5,3,2,4,3,2,4,4,3,4,4,3,4,4,2,4,4,4,4,4,4,3,1,3,2,4,4,4,4,4,4,2
"129",3,4,5,1,4,4,3,2,2,4,3,1,5,4,3,3,4,1,4,3,4,3,3,4,3,2,1,5,4,4,4,5,4,2,4,3,2,4,4,3,2,4,4,4
"130",5,2,3,4,2,2,5,2,1,5,3,1,2,5,1,5,5,3,5,4,2,4,3,1,1,2,1,3,2,2,3,5,1,2,4,5,1,2,5,4,5,5,5,1
"131",5,3,5,1,5,2,4,3,5,5,5,1,5,4,5,5,5,2,1,5,2,5,1,5,4,5,1,5,3,5,1,5,5,5,3,5,2,5,1,5,2,5,1,4
"132",5,2,4,1,5,3,4,2,5,5,5,1,4,2,5,5,5,2,2,5,2,5,2,5,5,4,1,5,2,5,2,5,4,4,3,5,2,4,1,5,5,4,2,5
"133",4,2,2,4,4,4,5,4,3,4,3,1,5,4,4,4,4,3,5,4,4,4,3,3,2,3,1,2,4,4,3,5,4,2,5,4,3,2,4,4,4,5,4,5
"134",3,3,4,2,4,3,5,2,1,5,2,1,5,5,4,2,5,2,5,4,5,5,3,1,4,1,1,4,4,5,5,5,4,1,2,2,2,4,5,3,1,5,4,5
"135",4,1,4,1,4,4,4,3,3,4,4,2,5,5,4,4,5,4,3,4,3,5,4,4,4,4,1,4,4,4,4,4,4,3,4,4,3,4,4,4,2,4,3,3
"136",5,3,3,2,4,2,4,4,3,4,5,2,4,3,3,5,5,3,4,4,2,4,4,3,2,3,2,3,3,2,2,4,3,2,3,5,2,2,3,3,2,4,3,2
"137",3,2,5,3,4,5,4,1,3,4,3,1,5,4,4,3,3,3,3,4,4,1,2,2,3,2,2,4,2,5,5,5,4,4,4,3,1,3,3,3,1,4,4,5
"138",4,2,5,1,4,3,4,3,3,4,4,3,5,5,4,4,4,1,5,5,2,5,2,1,3,4,3,5,5,5,2,4,5,4,4,5,3,5,5,5,4,5,4,4
"139",4,2,4,5,4,1,5,5,1,5,4,1,5,4,4,4,5,5,5,4,4,5,2,1,1,3,1,2,5,2,4,4,4,4,4,5,2,4,2,3,4,5,5,1
"140",5,4,5,1,5,1,4,1,4,4,5,4,5,3,2,5,4,1,2,2,1,4,1,2,2,5,1,5,4,1,2,5,5,4,3,5,3,5,2,1,3,5,2,1
"141",3,3,5,2,2,4,5,1,4,4,3,2,5,4,3,3,5,1,4,2,5,5,3,2,2,3,1,5,3,3,3,5,5,4,4,4,1,5,4,3,2,5,4,4
"142",3,3,3,5,5,4,4,3,2,3,2,3,5,5,2,2,2,4,5,5,4,3,4,2,4,4,5,4,5,4,5,5,4,2,2,4,4,4,4,3,3,3,3,4
"143",4,3,5,2,4,2,5,3,2,4,4,1,5,4,4,4,5,1,4,4,2,4,4,2,3,4,1,5,4,2,2,5,5,3,4,4,1,5,4,3,3,4,4,4
"144",4,2,4,1,4,1,5,3,4,5,5,1,4,4,3,5,5,4,2,3,1,5,2,5,3,4,1,4,2,5,1,5,4,2,1,5,1,3,2,4,2,4,4,5
"145",4,2,5,1,4,4,5,4,4,4,4,2,5,3,3,4,4,2,4,4,4,5,4,4,4,4,1,5,4,4,4,5,4,2,4,4,2,5,4,4,3,5,5,3
"146",5,3,3,1,4,2,3,2,2,3,3,2,3,3,3,2,4,3,1,2,3,3,3,5,3,4,1,4,2,1,1,4,4,3,2,5,2,3,1,3,1,4,3,1
"147",2,1,5,1,5,5,4,2,3,4,3,1,5,4,5,3,4,2,3,4,5,5,3,4,5,5,1,4,4,5,5,5,5,4,3,3,2,3,2,4,5,4,3,5
"148",4,2,5,3,5,2,5,4,4,5,5,1,5,4,5,5,5,2,3,5,4,5,1,4,5,4,1,4,2,5,4,5,5,4,2,5,2,2,3,5,1,5,4,5
"149",4,4,2,1,3,3,4,4,5,4,4,3,3,2,2,4,4,4,1,4,4,4,4,4,3,4,2,2,3,4,4,4,3,5,3,4,4,3,4,2,2,4,4,4
"150",3,5,4,1,5,2,4,2,5,5,2,4,4,1,5,2,3,4,1,4,3,3,4,5,5,4,4,4,1,4,2,2,5,4,3,4,4,4,1,5,2,3,2,5
"151",4,3,4,4,5,4,5,4,1,5,2,1,5,5,5,4,5,3,3,4,3,5,4,3,4,4,1,4,5,5,3,5,5,1,3,4,3,5,5,5,2,5,4,4
"152",4,3,5,1,2,4,5,2,2,4,4,1,5,2,3,4,4,1,2,3,3,5,2,5,3,4,1,5,3,4,4,4,5,4,5,5,4,4,5,3,2,4,4,2
"153",4,2,3,4,4,3,4,4,4,5,4,3,3,3,4,4,4,3,4,5,2,3,4,2,3,3,2,3,4,4,3,4,4,3,4,2,2,3,4,4,4,5,4,4
